name;char;svg
a drop of;丶;svgsJa/20022.svg
acupuncturist;尃;svgsJa/23555.svg
altar;礻;svgsJa/31035.svg
angel;喬;svgsJa/21932.svg
animal legs;;svgsJaZoo/990206.svg
animal tracks;釆;svgsJa/37318.svg
antique;啇;svgsJa/21831.svg
apple;亦;svgsJa/20134.svg
apron;;svgsJaZoo/990501.svg
arm;乂;svgsJa/20034.svg
arrow;弋;svgsJa/24331.svg
assembly line;从;svgsJa/20174.svg
awl;㑒;svgsJa/13394.svg
banner;𭤨;svgsJa/186664.svg
belt;冂;svgsJa/20866.svg
birdhouse;;svgsJaZoo/990601.svg
bone;歹;svgsJa/27513.svg
bonsai;𡗗;svgsJa/136663.svg
bound up small;⺈;svgsJa/11912.svg
bound up;勹;svgsJa/21241.svg
box small;;svgsJaZoo/990201.svg
box;匚;svgsJa/21274.svg
broom old;彑;svgsJa/24401.svg
broom two;⺕;svgsJa/11925.svg
broom;彐;svgsJa/24400.svg
brush top;⺻;svgsJa/11963.svg
brush;聿;svgsJa/32895.svg
bucket of eels;;svgsJaZoo/990901.svg
buckle;丗;svgsJa/19991.svg
bushel basket;其;svgsJa/20854.svg
bushes side;;svgsJaZoo/990401.svg
bushes;丰;svgsJa/20016.svg
butcher;刖;svgsJa/21014.svg
by ones side;𠂇;svgsJa/131207.svg
cabbage;𦰌;svgsJa/158732.svg
calling card;氐;svgsJa/27664.svg
cave;广;svgsJa/24191.svg
caverns;;svgsJaZoo/990701.svg
celery;𠀎;svgsJa/131086.svg
chop-seal small;龴;svgsJa/40884.svg
chop-seal;;svgsZhHansZoo/12567.svg
christmas tree;耒;svgsJa/32786.svg
city walls right;⻏;svgsJa/11983.svg
cliff;厂;svgsJa/21378.svg
cloak;衤;svgsJa/34916.svg
clothes hanger;𠃌;svgsJa/131276.svg
cocoon;幺;svgsJa/24186.svg
comb;而;svgsJa/32780.svg
condor;;svgsJaZoo/990902.svg
cornstalk;𰀁;svgsJa/196609.svg
cornucopia;丩;svgsJa/20009.svg
cow left;牜;svgsJa/29276.svg
cow top;𠂒;svgsJa/131218.svg
crown;冖;svgsJa/20886.svg
deer;;svgsJaZoo/990702.svg
devil;兑;svgsJa/20817.svg
divining rod;卜;svgsJa/21340.svg
dog tag;甫;svgsJa/29995.svg
dollar sign below;𢎨;svgsJa/140200.svg
dollar sign;弗;svgsJa/24343.svg
double back;复;svgsJa/22797.svg
drag bottom;;svgsJaZoo/990202.svg
drag;𠂆;svgsJa/131206.svg
drum;壴;svgsJa/22772.svg
earthworm;屯;svgsJa/23663.svg
eel;;svgsJaZoo/990502.svg
elbow;厶;svgsJa/21430.svg
eye;⺫;svgsJa/11947.svg
fenceposts;;svgsJaZoo/990203.svg
fiesta;戈;svgsJa/25096.svg
finger;扌;svgsJa/25164.svg
fingerprint;㔾;svgsJa/13630.svg
fire;灬;svgsJa/28780.svg
flag;尸;svgsJa/23608.svg
fledgling;;svgsZhHans/23386.svg
float;㦮;svgsJa/14766.svg
